Custid,Mnt,Clothes,NetPurchase,Marital_Status,DepVar
1903,43.68,73,53,Single,0
5261,1670.24,78,16,Married,1
9733,48.88,86,67,BigConfusion,0
5922,1659.84,18,7,Married,0
2432,38.48,15,62,Single,0
10376,864.24,58,13,Single,0
10527,557.44,40,46,Married,0
1104,988.0,39,28,Together,0
5576,679.12,89,51,Married,0
9245,268.32,75,47,Married,0
7815,1187.68,68,39,Together,0
5046,11.44,24,66,Together,0
5583,558.48,41,75,Married,0
9002,153.92,34,65,Together,0
4526,1927.12,62,22,Married,1
10787,56.16,13,63,Single,0
8332,863.2,21,18,Single,0
4131,1660.88,46,9,Divorced,1
3904,123.76,46,44,Single,0
5590,189.28,88,59,Together,0
2671,41.6,30,64,Together,0
2555,2445.04,46,8,Together,1
9927,14.56,20,59,Divorced,0
7955,232.96,78,49,Married,0
7778,17.68,58,40,Together,0
1041,156.0,6,60,Single,0
3949,2506.4,54,10,Divorced,1
9968,95.68,54,58,Together,0
2545,796.64,60,66,Married,0
8157,928.72,59,27,Divorced,0
4630,927.68,18,9,Together,0
7575,1190.8,37,33,Married,0
4945,318.24,36,41,Married,0
4517,31.2,14,62,Single,0
1006,58.24,47,67,Together,0
1741,41.6,59,27,Married,0
6220,997.36,36,37,Single,0
3079,2255.76,79,13,Married,1
9020,80.08,50,42,Married,0
9062,1329.12,16,13,Together,0
10568,19.76,6,54,Together,0
4479,28.08,7,68,Together,0
6481,92.56,57,51,Married,0
5554,459.68,78,48,Together,0
1143,65.52,83,42,Single,0
8592,17.68,70,64,Single,0
2442,310.96,91,65,Divorced,0
4246,1118.0,18,17,Together,0
8822,561.6,35,56,Single,0
6106,31.2,44,52,Single,0
10063,570.96,96,51,Together,0
2794,1600.56,20,12,Single,0
7759,189.28,61,50,Single,0
10516,35.36,50,68,Married,0
1825,2628.08,41,11,Married,0
5821,268.32,87,52,Married,0
8077,1400.88,42,16,Together,0
8715,72.8,45,50,Together,0
3959,95.68,77,47,Divorced,0
1283,194.48,91,65,Widow,0
10225,54.08,32,54,Together,0
5434,28.08,16,50,Single,0
6214,508.56,51,38,Married,0
1807,566.8,59,58,Married,0
5384,126.88,57,55,Married,0
5685,1467.44,22,12,Widow,0
9101,52.0,39,44,Married,0
3066,125.84,57,56,Together,0
4874,796.64,47,29,Married,0
5230,70.72,44,69,Married,0
1034,48.88,20,62,Married,0
8139,514.8,79,44,Single,0
3649,195.52,86,63,Divorced,0
5776,798.72,43,25,Married,0
2135,2061.28,66,13,Widow,1
4751,59.28,48,66,BigConfusion,0
7005,42.64,63,56,Single,0
3868,566.8,55,36,Together,0
8503,229.84,52,72,Together,0
5092,228.8,78,67,Together,0
3273,19.76,41,67,Married,0
9063,1116.96,43,18,Together,0
1917,557.44,54,47,Married,0
8070,63.44,9,77,Married,0
7529,46.8,67,61,Married,0
5341,864.24,48,26,Single,0
4399,615.68,40,46,Married,0
6969,229.84,9,38,Single,0
7381,2194.4,46,14,Together,0
3309,11.44,7,57,Single,0
4531,50.96,5,52,Single,0
1443,121.68,91,39,Together,0
2467,735.28,86,38,Single,0
8114,191.36,7,62,Together,0
1351,504.4,36,55,Married,0
4367,1726.4,12,10,Married,0
1691,1929.2,39,20,Married,0
1036,65.52,64,57,Married,0
3214,1394.64,39,23,Together,0
9132,404.56,84,60,Married,0
3775,229.84,70,35,Married,0
9225,1256.32,54,35,Married,0
3951,509.6,56,57,Together,0
2012,936.0,58,11,Married,0
9038,310.96,92,57,Together,0
6056,1729.52,77,17,Together,0
10070,153.92,35,40,Together,0
10128,20.8,65,69,Together,0
2746,509.6,67,41,Divorced,0
9141,13.52,3,63,Single,0
10965,1318.72,63,31,Single,0
8451,10.4,73,68,Married,0
8749,1053.52,24,16,Married,0
1410,1057.68,53,29,Together,0
7212,1537.12,43,17,Married,0
5441,224.64,92,45,Married,0
10367,231.92,42,49,Married,0
9134,43.68,67,38,Divorced,0
4385,157.04,92,36,Single,0
5191,68.64,51,56,Married,0
7297,1323.92,87,50,Single,0
8022,1134.64,58,39,Together,0
7199,87.36,86,50,Married,0
8633,668.72,79,37,Together,0
6397,627.12,85,44,Married,0
9412,24.96,17,62,Single,0
9420,1268.8,79,30,Married,0
10517,65.52,62,68,Together,0
1627,990.08,90,42,Married,0
6998,1523.6,12,15,Married,0
4621,990.08,78,29,Widow,0
6671,17.68,88,55,Married,0
4761,2505.36,69,7,Widow,1
2244,500.24,51,37,Widow,0
9400,930.8,46,38,Single,0
6006,306.8,64,49,Married,0
7873,1599.52,14,18,Together,0
8756,65.52,74,55,Married,0
5028,42.64,54,59,Married,0
5103,66.56,57,46,Together,0
1588,567.84,93,70,Divorced,1
2117,228.8,61,48,Together,0
2761,1134.64,80,68,Divorced,0
1153,1000.48,36,12,Together,0
10032,858.0,60,30,Married,0
5216,1990.56,17,12,Married,0
7737,47.84,32,31,Single,0
10080,989.04,56,31,Married,0
1582,72.8,5,68,Single,0
8888,557.44,40,34,Together,0
9638,313.04,86,58,Married,0
6246,1801.28,25,14,Widow,0
6227,1929.2,38,14,Divorced,1
8140,1254.24,92,59,Divorced,0
6153,455.52,25,42,Together,0
3006,33.28,41,38,Married,0
9686,1328.08,49,13,Together,0
5109,1135.68,88,40,Married,0
3383,362.96,23,25,Married,0
9497,2383.68,51,13,Married,0
9748,1536.08,66,47,Single,0
2472,995.28,67,33,Together,0
4950,28.08,20,61,Together,0
2035,43.68,68,39,Together,0
7994,731.12,83,35,Married,0
5601,318.24,35,46,Married,0
1675,2318.16,27,16,Married,0
3491,511.68,93,57,Together,0
10653,12.48,9,38,Single,0
10461,1060.8,71,36,Married,1
2827,1190.8,43,11,Widow,0
6747,1395.68,58,14,Single,0
2279,1933.36,32,13,Married,0
1719,683.28,82,36,Married,0
3473,66.56,74,55,Single,0
2529,124.8,86,44,Married,0
5006,20.8,37,49,Together,0
8723,42.64,93,65,Married,0
5612,1990.56,58,34,Married,0
10037,1464.32,21,27,BigConfusion,0
4439,29.12,7,62,Single,0
3140,124.8,27,16,Married,0
6258,60.32,51,72,Married,0
5694,1253.2,72,14,Divorced,1
3152,362.96,49,29,Together,0
5326,569.92,76,34,Married,0
4673,792.48,17,29,Widow,0
9076,1671.28,25,16,Together,1
6335,502.32,95,64,Married,0
8146,266.24,7,66,Single,0
1967,1059.76,85,59,Married,0
2515,680.16,71,50,Married,0
8292,743.6,28,34,Together,0
2330,1131.52,54,15,Divorced,0
3895,565.76,54,49,Married,0
6507,1120.08,65,15,Divorced,0
3237,1864.72,43,9,Together,0
5796,42.64,33,42,Together,0
3596,559.52,85,41,Single,0
7102,802.88,74,37,Divorced,0
8896,359.84,85,49,Married,0
1182,35.36,7,73,Single,0
1533,459.68,71,31,Single,0
9592,1800.24,66,20,Married,1
7635,45.76,20,63,Single,0
1328,33.28,28,43,Single,0
9923,44.72,31,69,Married,0
3569,1929.2,65,39,Widow,0
1128,1055.6,15,19,Married,0
5447,1734.72,25,18,Together,0
4608,1469.52,68,9,Together,0
2163,33.28,38,35,Married,0
1156,56.16,33,78,Single,0
3989,455.52,74,32,Married,0
2518,455.52,75,41,Divorced,0
2219,2064.4,14,10,Single,0
5207,1527.76,25,33,Divorced,0
7829,24.96,14,66,Divorced,0
9649,35.36,80,65,Married,0
5745,462.8,51,31,Married,0
3966,352.56,69,60,Together,0
3865,21.84,40,45,Together,0
6321,1066.0,40,51,Together,0
10537,10.4,10,56,Single,0
5808,398.32,9,64,Single,0
2864,231.92,73,60,Married,0
8100,2056.08,75,7,Single,0
8185,1864.72,21,9,Divorced,1
8591,308.88,51,51,Widow,0
2083,1996.8,59,31,Widow,0
5793,192.4,65,66,Single,0
2381,793.52,9,16,Married,0
1809,192.4,27,66,Together,0
1767,50.96,43,72,Married,0
8903,31.2,25,70,Single,0
10112,456.56,56,57,Married,0
5626,731.12,74,36,Married,0
6037,122.72,45,40,Married,0
7653,29.12,57,60,Single,0
2384,1592.24,61,20,Together,0
10583,93.6,56,22,Together,0
6739,1390.48,38,15,Married,0
7094,12.48,11,69,Single,0
9714,733.2,84,41,Divorced,0
3500,124.8,38,58,Married,0
2178,31.2,19,41,Single,0
2001,190.32,60,33,Divorced,0
5383,860.08,74,22,Together,0
4061,355.68,93,65,Divorced,0
4449,189.28,53,53,Divorced,0
6474,76.96,44,50,Single,0
5283,27.04,65,45,Single,0
4767,30.16,25,52,Married,0
5957,33.28,8,79,Single,0
6597,743.6,35,24,Married,0
3211,27.04,45,65,Together,0
8911,503.36,16,14,Single,0
10085,1530.88,21,11,Together,0
2908,57.2,53,40,Married,0
6830,66.56,65,39,Together,0
4326,2126.8,74,37,Married,0
4691,1328.08,55,22,Widow,0
9082,68.64,10,60,Together,0
1870,22.88,49,40,Single,0
8536,67.6,61,63,Married,0
10868,1394.64,73,42,Divorced,0
3721,1258.4,83,33,Single,0
5113,1531.92,24,12,Together,0
1400,35.36,6,74,Single,0
2275,458.64,69,38,Married,1
8083,264.16,40,36,Divorced,0
9684,806.0,79,34,Together,0
2205,515.84,49,11,Together,0
4685,42.64,70,41,,0
9261,74.88,41,53,Together,0
8060,123.76,14,41,Single,0
3874,48.88,53,48,Single,0
7859,42.64,58,51,Married,0
2225,20.8,87,29,Divorced,0
2681,29.12,34,67,Together,0
9026,66.56,64,54,Together,0
4281,270.4,38,61,Married,0
5731,154.96,28,62,Single,0
2318,49.92,28,57,Single,0
7393,152.88,35,72,Single,0
6266,78.0,60,24,Widow,0
8307,930.8,69,27,Married,0
7080,34.32,39,51,Together,0
5782,9.36,19,62,Married,0
7082,1528.8,64,26,Married,1
1343,18.72,37,39,Married,0
10144,17.68,75,57,Married,0
1061,1331.2,41,17,Widow,1
8529,42.64,66,57,Married,0
5823,83.2,42,61,Together,0
3000,159.12,57,61,Together,0
1350,94.64,69,58,Single,0
7045,49.92,28,58,Single,0
10422,19.76,34,62,Married,0
1625,672.88,74,36,Married,0
7172,510.64,79,60,Widow,0
7399,2065.44,43,10,Married,0
6317,1469.52,40,8,Married,0
3112,59.28,29,54,Married,0
2421,2124.72,18,22,Married,0
10271,22.88,80,57,Widow,0
6101,1396.72,85,35,Together,0
7417,125.84,59,66,Single,0
3063,17.68,36,58,Single,0
9457,41.6,25,65,Single,0
6404,35.36,70,45,Single,0
3700,409.76,48,57,Single,0
8782,56.16,45,59,Married,0
1924,54.08,58,53,Married,0
7351,2628.08,69,38,Together,1
5192,921.44,89,52,Widow,0
7726,2062.32,38,13,Together,1
9716,407.68,23,35,Together,0
6406,47.84,3,51,Single,0
1416,2188.16,85,24,Widow,0
10462,1456.0,56,39,Together,0
8361,683.28,24,15,Divorced,0
2347,1336.4,44,13,Together,0
4711,123.76,73,62,Married,0
2474,628.16,78,32,,0
4099,191.36,53,48,BigConfusion,0
8856,507.52,91,43,Married,0
2902,1593.28,41,11,Together,0
10451,33.28,60,61,Married,0
3620,453.44,93,53,Married,0
4523,53.04,16,77,Together,0
1860,408.72,89,64,Married,0
10418,14.56,48,40,Married,0
2392,1262.56,39,10,Divorced,0
6195,274.56,72,57,Divorced,0
10657,747.76,53,43,Together,0
6159,187.2,58,26,Married,0
8992,1324.96,33,18,Together,0
9325,1798.16,33,17,Widow,0
8147,153.92,36,66,Divorced,0
5038,56.16,47,72,Together,0
2562,305.76,65,69,Together,0
4766,224.64,52,76,Together,0
6274,56.16,73,63,Married,0
1549,158.08,69,41,Together,0
10139,306.8,86,58,Divorced,0
2609,43.68,17,45,Single,0
2832,2440.88,45,10,Married,0
9143,556.4,92,43,Divorced,0
5769,1524.64,47,57,Married,0
7952,685.36,94,63,Married,0
2981,59.28,27,70,Single,0
9278,568.88,81,52,Married,0
4980,854.88,59,25,Single,0
10056,30.16,9,67,Single,0
8421,78.0,75,53,Married,0
8637,38.48,28,41,Together,0
7830,359.84,90,56,Married,0
9835,670.8,43,39,Married,0
7809,2128.88,43,17,Single,0
6644,1736.8,80,28,Married,0
8787,82.16,42,57,Married,0
5025,33.28,36,52,Single,0
4113,925.6,65,30,Divorced,0
4764,193.44,45,25,Married,0
8857,30.16,9,49,Married,0
4599,622.96,33,33,Married,0
3712,1068.08,60,31,Married,0
3467,1064.96,66,17,Together,0
4749,230.88,59,54,Together,0
1798,1258.4,43,29,Single,0
6184,32.24,49,43,BigConfusion,0
7713,504.4,25,26,Together,0
1313,1797.12,57,10,Married,0
5330,43.68,24,68,Single,0
6432,53.04,56,50,Married,0
9804,399.36,74,35,Divorced,0
8561,2058.16,65,11,Married,1
2961,567.84,88,48,Married,0
3340,995.28,41,26,Together,0
10612,228.8,23,58,Married,0
1167,66.56,82,54,Single,0
8573,1465.36,46,8,Married,0
8135,1660.88,81,40,Single,0
6262,738.4,83,44,Married,0
2923,66.56,81,48,Married,0
8450,307.84,35,52,Single,0
6151,452.4,66,57,Single,0
6582,56.16,24,41,Together,0
2302,1457.04,19,16,Together,0
10395,2190.24,45,14,Single,1
3138,232.96,43,40,Single,0
10209,52.0,14,73,Single,0
10952,57.2,21,71,Married,0
9682,19.76,77,60,Married,0
9202,459.68,65,63,Together,0
2891,15.6,52,68,Married,0
9058,189.28,93,47,Married,0
9717,351.52,27,40,Together,0
9723,67.6,56,58,Together,0
3439,60.32,61,41,Married,0
10700,224.64,13,54,Single,0
9621,408.72,88,60,Married,0
9871,356.72,60,68,Married,0
5538,502.32,90,28,Divorced,0
10067,853.84,74,57,Married,0
1700,503.36,46,31,Married,0
6096,95.68,48,60,Single,0
3319,2314.0,25,16,Divorced,1
6987,16.64,47,52,Married,0
2065,1130.48,39,19,Divorced,0
5794,1928.16,31,26,Married,1
2235,92.56,7,70,Single,0
5000,126.88,10,68,Single,0
8286,1333.28,37,12,Divorced,0
6843,121.68,48,32,Together,0
5792,41.6,76,60,Together,0
9370,687.44,65,37,Married,0
3731,1667.12,36,13,Divorced,0
9403,398.32,41,28,Together,0
6625,72.8,58,53,Married,0
1112,76.96,81,54,Married,0
8892,919.36,76,48,Widow,0
6873,405.6,63,38,Married,0
4133,1791.92,49,17,Together,0
1866,1933.36,49,13,Together,0
9128,30.16,36,50,Together,0
7909,48.88,6,58,Single,0
9152,19.76,70,72,Married,0
2027,1467.44,23,10,Together,0
5476,20.8,8,55,Married,0
4114,38.48,63,53,Married,0
1925,225.68,77,55,Single,0
1920,993.2,93,35,Together,0
4192,43.68,26,76,Together,0
1371,19.76,43,45,Married,0
9739,356.72,75,63,Married,0
3915,1202.24,71,30,Together,0
4421,96.72,47,53,Single,0
4359,625.04,84,47,Together,1
9585,93.6,75,62,Married,0
5066,40.56,77,49,Married,0
8680,1995.76,68,29,Together,0
7316,1266.72,57,15,Married,0
2020,307.84,61,57,Single,0
4079,1532.96,68,50,Married,0
4062,924.56,31,36,Married,0
6164,745.68,81,55,Divorced,0
8056,34.32,13,38,Single,0
3933,684.32,52,61,Together,0
7143,34.32,18,59,Together,0
2831,308.88,74,58,Divorced,0
10003,1528.8,44,12,Widow,0
10024,29.12,5,66,Single,0
4282,1467.44,95,33,Married,0
9288,1386.32,90,41,Widow,0
3690,1668.16,54,13,Single,0
1678,1323.92,69,37,Widow,1
2057,1596.4,65,65,Single,0
2541,66.56,26,57,Single,0
9139,21.84,23,66,Single,0
1067,194.48,74,64,Married,0
3752,795.6,72,40,Married,0
9330,316.16,55,41,Married,0
3387,79.04,49,43,Together,0
1361,501.28,51,31,Together,0
4683,742.56,40,31,Single,0
5087,358.8,66,34,Divorced,0
6845,561.6,55,27,Married,0
9124,2187.12,14,14,Married,1
9530,679.12,50,43,Married,0
5870,873.6,68,20,Divorced,0
5219,160.16,60,70,Together,0
10675,69.68,17,71,Single,0
7026,920.4,83,27,Widow,1
9272,567.84,56,50,Married,0
6029,122.72,27,39,Married,0
9771,1524.64,67,15,Married,0
8747,926.64,40,25,Together,0
5898,2188.16,49,7,Married,1
5453,229.84,44,67,Together,0
4122,42.64,32,55,Married,0
6687,1996.8,77,19,Divorced,0
1771,93.6,79,52,Married,0
6280,50.96,14,59,Single,0
4757,1590.16,29,20,Divorced,0
3206,1529.84,58,18,Together,0
4897,33.28,71,62,Married,0
8543,1734.72,76,31,Married,1
7258,48.88,17,73,Single,0
2603,998.4,85,43,Divorced,0
2446,1116.96,72,34,Married,0
6963,795.6,46,19,Together,0
10278,44.72,24,69,Married,0
7064,1390.48,75,41,Married,0
7039,69.68,72,55,Single,0
7188,2377.44,61,19,BigConfusion,1
3144,1183.52,41,31,Single,0
10530,314.08,93,54,Married,0
7328,1120.08,70,32,Single,0
2628,42.64,53,64,Single,0
8037,312.0,65,53,Married,0
4175,411.84,58,29,Married,0
1197,123.76,82,46,Single,0
3162,1054.56,98,56,Single,0
3302,1598.48,64,53,Single,0
3637,1602.64,55,13,Together,1
9816,1801.28,61,13,Together,1
2990,39.52,62,48,Married,0
1344,48.88,48,71,Married,0
1877,1188.72,21,15,Single,0
10004,1129.44,31,9,Divorced,0
6780,33.28,76,56,Together,0
1805,1257.36,17,12,Together,0
7190,2058.16,15,8,Widow,0
3358,1267.76,72,34,Married,0
10904,19.76,66,66,Married,0
8802,314.08,25,61,Married,0
6632,43.68,4,51,Married,0
1349,154.96,87,72,Together,0
3901,153.92,45,60,Single,0
2738,20.8,49,45,Single,0
8780,565.76,92,39,Married,0
8482,869.44,69,20,Together,0
3996,1468.48,20,21,Married,0
9988,22.88,44,61,Divorced,0
4775,2445.04,40,16,Widow,0
1973,125.84,58,72,Married,0
10467,123.76,69,35,Single,0
3411,567.84,70,56,Together,0
7090,17.68,64,49,Single,0
3133,94.64,10,62,Single,0
2702,511.68,90,45,Married,0
8354,860.08,63,18,Single,0
10577,996.32,33,14,Widow,1
2826,1797.12,57,12,Married,1
4826,1522.56,71,39,Married,1
6149,70.72,44,33,Married,0
5263,39.52,4,64,Together,0
4468,190.32,31,55,Married,0
3241,268.32,27,57,Married,0
10631,513.76,29,14,Widow,0
5153,226.72,59,42,Single,0
9854,188.24,35,53,Single,0
10296,50.96,62,39,Married,0
5764,49.92,16,73,Divorced,0
2477,1736.8,63,32,Married,0
9191,2320.24,64,10,Married,0
4937,1263.6,21,28,Divorced,0
6485,2440.88,16,9,Together,1
4589,1665.04,34,20,Divorced,0
7872,34.32,21,52,Together,0
1024,316.16,67,60,Married,0
6869,860.08,48,45,Together,0
3070,1470.56,71,23,Married,0
3377,1864.72,46,13,Together,0
8604,1860.56,81,30,Married,0
6940,450.32,54,46,Married,0
6778,1593.28,73,32,Divorced,1
4595,265.2,81,54,Together,0
4601,191.36,59,39,Together,0
9469,1398.8,41,24,Married,1
3384,746.72,71,47,Married,0
2658,56.16,68,55,Married,0
7611,225.68,34,54,Together,0
7961,747.76,81,25,Together,0
10519,1797.12,15,14,Married,0
7898,32.24,74,61,Single,0
10262,359.84,67,53,Single,0
6158,126.88,19,47,Single,0
5162,625.04,67,52,Together,0
6318,1794.0,79,25,Together,0
8841,41.6,62,50,Married,0
1673,1796.08,26,21,Married,0
9785,1061.84,19,19,Single,0
9620,228.8,12,46,Single,0
6968,96.72,58,64,Together,0
10734,1664.0,30,18,Married,0
5072,10.4,45,60,Together,0
7041,80.08,20,40,Single,0
8105,351.52,63,41,Divorced,0
2597,34.32,9,67,BigConfusion,0
5724,932.88,55,38,Divorced,0
7384,1258.4,65,26,Together,0
2881,35.36,71,56,Together,0
6950,509.6,41,46,Married,0
10244,1460.16,35,22,Divorced,0
8393,123.76,15,39,Single,0
6464,41.6,92,35,Together,0
6209,2505.36,30,13,Together,1
4226,72.8,12,53,Single,0
2567,505.44,67,44,Married,0
7536,44.72,15,66,Single,0
4047,362.96,76,44,BigConfusion,0
5305,2318.16,59,16,Married,0
9706,52.0,13,62,Single,0
10114,56.16,28,42,Single,0
7774,732.16,91,54,Divorced,1
5817,507.52,92,53,Single,1
2479,74.88,31,65,Single,0
4442,46.8,14,35,Together,0
8479,798.72,52,38,Single,0
10844,1197.04,78,37,Married,0
3579,926.64,32,53,Single,0
3958,42.64,50,25,Single,0
8879,44.72,75,48,Married,0
3530,864.24,27,9,Widow,0
3143,1457.04,54,13,,0
2647,1664.0,25,13,Married,1
1017,16.64,6,51,Together,0
8123,1790.88,57,11,Together,1
3631,451.36,83,45,Single,0
8376,1667.12,47,18,Together,0
6581,270.4,34,37,Married,0
9384,2248.48,62,19,Married,0
7340,156.0,53,20,Married,0
1189,48.88,22,40,Single,0
6880,35.36,48,55,Married,0
4140,67.6,53,42,Together,0
2378,1933.36,78,19,Divorced,1
10781,508.56,79,46,Married,0
1370,98.8,21,58,Married,0
3357,41.6,81,45,Married,0
8648,361.92,35,22,Married,0
3267,1929.2,63,15,Married,0
9989,452.4,83,42,Divorced,0
10497,558.48,60,41,Married,0
8409,362.96,88,60,Married,0
9340,74.88,35,62,Single,0
2462,273.52,78,60,Together,0
1747,35.36,44,75,Single,0
8580,570.96,89,58,Together,0
5754,1331.2,44,21,Divorced,0
7498,20.8,17,55,Married,0
1756,14.56,40,55,Single,0
2393,19.76,47,52,Married,0
9655,1326.0,66,20,Married,0
2627,411.84,49,37,Single,0
1676,508.56,67,46,Widow,0
6881,61.36,10,68,Together,0
1395,871.52,16,14,Married,0
7857,19.76,18,56,Single,0
3359,160.16,28,67,Married,0
8463,2503.28,83,15,Widow,1
5428,67.6,71,45,Single,0
3028,20.8,16,56,Single,0
2662,1926.08,75,29,Married,1
3663,1933.36,35,18,Together,0
10310,73.84,55,57,Together,0
1889,55.12,39,62,Married,0
2511,314.08,89,62,Single,0
7951,1054.56,83,60,Single,0
4222,993.2,45,41,Together,0
4397,39.52,12,64,Single,0
8739,11.44,20,62,Together,0
1988,225.68,37,64,Married,0
10122,40.56,64,58,Divorced,0
3796,1527.76,27,17,Widow,0
10130,1529.84,61,30,Together,0
1467,1454.96,57,37,Together,1
2767,356.72,79,60,Together,0
9966,1186.64,18,18,Married,0
2341,2439.84,28,15,Divorced,1
7444,451.36,78,45,Divorced,0
4278,509.6,83,48,Divorced,0
